"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.522640743130016,1.34945914764876,-0.387296454317007,0.698536750165223
"LOC",0.000632705595135627,0.000106783364707189,5.92513259785894,3.12045496828056e-09
"LOCE",-0.000447692146861829,8.51816322194599e-05,-5.25573571669073,1.47433882998354e-07
"NMax",-0.0785515243751117,0.0323104057670531,-2.43115251914325,0.0150508773864162
"n1",0.000619196832114828,0.000246679261266283,2.51012926233156,0.0120686974837718
"nWeakComp",-0.0511611529016017,0.0283906527382996,-1.80204215004131,0.0715387742392186
"pWeakComp",0.00856985384235762,0.00533196523585462,1.60725988697937,0.107997369766542
"Density2",0.00427829654878248,0.00195297949243224,2.19065103620432,0.0284770548889531
"pWeakComp2",-0.00251953398742685,0.00111549615669961,-2.25866666800658,0.0239041273530839
"X2StepReach2",0.0952026067444303,0.0229193761565013,4.15380445324315,3.26992643845299e-05
"Ties3",0.00398443087013252,0.000944427980010269,4.21888270409905,2.45515951848547e-05
"Pairs3",-0.000164792177110109,0.000125924120250754,-1.3086625245581,0.190648691339896
"Density3",0.0121505851513763,0.00342718589314361,3.54535339786634,0.000392087023863967
"nWeakComp3",0.106125845662699,0.0495503495425752,2.14177794187934,0.0322113552539502
"pWeakComp3",-0.00478058619087833,0.00337690647015082,-1.41567029858094,0.156872058373905
"nBroker3",-0.525352921064063,0.250970998809959,-2.09328138930456,0.036324042982694
"EgoBetween3",-0.00105306211629159,0.000468475222111173,-2.24785018841763,0.0245857443340313
"nEgoBetween3",0.0227702699705294,0.00724050371803951,3.14484611254296,0.00166174215509549
"outCloseness",-347.086120691324,146.542528110661,-2.36850097487893,0.0178603333152024
"Betweenness",6.96331652724139e-07,2.67943593904152e-07,2.59879940616616,0.00935504225578806
"OutdwReach",0.0033587952216551,0.000553894327415634,6.06396392851069,1.32806952711704e-09
"EffSize",-0.00237511933124869,0.000893574816886064,-2.65799716639903,0.00786065539480172
"Constraint",-1.84857811460882,0.739973849882291,-2.49816681346628,0.0124837433923337
"Hierarchy",0.841601500911943,0.290458802025552,2.89749009168573,0.00376161620132123
